ds,yhat
2025-01-01,226.09082684693774
2025-01-02,219.06483057399728
2025-01-03,222.3889324221698
2025-01-04,222.3151377611143
2025-01-05,225.233662873566
2025-01-06,222.17019005862394
2025-01-07,225.4645935611448
2025-01-08,225.61611954800887
2025-01-09,219.11179769445968
2025-01-10,222.92661913916825
2025-01-11,223.3024492286346
2025-01-12,226.62135080833633
2025-01-13,223.90304120934758
2025-01-14,227.4837402193491
2025-01-15,227.8613894330929
2025-01-16,221.52402044937145
2025-01-17,225.44980928691334
2025-01-18,225.885790661915
2025-01-19,229.22091552806097
2025-01-20,226.48318483315953
2025-01-21,230.01812841980805
2025-01-22,230.3336225534015
2025-01-23,223.92783765294251
2025-01-24,227.78886826520812
2025-01-25,228.17303367867177
2025-01-26,231.47754693670907
2025-01-27,228.73729870510815
2025-01-28,232.3030371277854
2025-01-29,232.68594766972856
2025-01-30,226.385433007716
